"","Team","2013-2014","2015-2016"
"1","Atlanta Hawks",0.0132746481145992,0.0360359316099462
"2","Boston Celtics",-0.00388398960234204,-0.00193690880917691
"3","Brooklyn Nets",0.000120912253575467,-0.0291088209090962
"4","Charlotte Hornets",-0.0369172303610136,-0.01305318340907
"5","Chicago Bulls",-0.00348018326871935,0.00846389138891268
"6","Cleveland Cavaliers",-0.0395094021404462,0.0228984899578539
"7","Dallas Mavericks",0.0129038413330385,0.0048340854811344
"8","Denver Nuggets",0.00963937439736468,-0.0258333142345563
"9","Detroit Pistons",-0.0278753654425795,-0.0165510849093114
"10","Golden State Warriors",0.0298280302529816,0.0769414260943997
"11","Houston Rockets",0.0326099764117034,0.0131406982782258
"12","Indiana Pacers",0.0280599338478892,0.00709874907144198
"13","Los Angeles Clippers",0.0380112532558334,0.0417720470729012
"14","Los Angeles Lakers",0.00376119386392826,-0.0538613469498496
"15","Memphis Grizzlies",-0.00290734026351858,-0.0215216923163834
"16","Miami Heat",0.0543139114425228,0.00885811156326649
"17","Milwaukee Bucks",-0.0280607533176492,0.000294259961676535
"18","Minnesota Timberwolves",-0.0349515444980115,-0.047536213069808
"19","New Orleans Pelicans",-0.0255092820637793,-0.0101066317429955
"20","New York Knicks",-0.00122248127904911,-0.0226645134017591
"21","Oklahoma City Thunder",0.0448632005862015,0.0212318463984386
"22","Orlando Magic",-0.02015712930737,-0.0166501788481594
"23","Philadelphia 76ers",-0.0319162944819802,-0.0307036014455711
"24","Phoenix Suns",-0.00593051266024769,-0.01569619924743
"25","Portland Trail Blazers",0.00133127266563099,0.0198181518509016
"26","Sacramento Kings",-0.0275838568586969,-0.0137072915048921
"27","San Antonio Spurs",0.0531068012965381,0.0410279719075488
"28","Toronto Raptors",-0.00292934250928306,0.00441064978589201
"29","Utah Jazz",-0.0214528319802773,0.00402477395293677
"30","Washington Wizards",-0.00280767441293833,0.00670580064967058
