"","Team","2013-2014","2015-2016"
"1","Atlanta Hawks",0.00291847566141071,0.00371073340672248
"2","Boston Celtics",-0.0235501498158689,-0.0277770523715531
"3","Brooklyn Nets",0.0225664881182469,0.0124733363818124
"4","Charlotte Hornets",0.03580041482921,0.021741270135348
"5","Chicago Bulls",0.0160563049352258,0.030818027977336
"6","Cleveland Cavaliers",-0.0114129316093997,0.0136624224054627
"7","Dallas Mavericks",-0.0318317186463172,0.00258020241710882
"8","Denver Nuggets",0.00530172855375971,-0.0174552409829493
"9","Detroit Pistons",-0.0156412632564355,-0.00358293557625328
"10","Golden State Warriors",-0.0234528129214106,-0.024690396911726
"11","Houston Rockets",0.058387159248247,0.0204622943876283
"12","Indiana Pacers",0.0254822191353024,-0.00776865738186108
"13","Los Angeles Clippers",0.00507461522083238,-0.00896917987911214
"14","Los Angeles Lakers",0.0408605214993941,-0.000747731040164623
"15","Memphis Grizzlies",-0.0109862750388419,0.00597193450676667
"16","Miami Heat",0.0199390217657815,0.0138802917548653
"17","Milwaukee Bucks",-0.0242294782472779,-0.0202081033745206
"18","Minnesota Timberwolves",0.0566972502486207,0.0579577779371382
"19","New Orleans Pelicans",-0.0222961031060044,-0.0103518472944472
"20","New York Knicks",-0.0383355101853761,-0.0259125733963926
"21","Oklahoma City Thunder",0.0525540055498743,0.0120971048458202
"22","Orlando Magic",-0.0327989039672849,-0.0404387320574467
"23","Philadelphia 76ers",-0.0544817000053486,-0.0424211533660648
"24","Phoenix Suns",-0.0244564996012964,-0.0317319489149724
"25","Portland Trail Blazers",0.0160171120666262,-0.011943307798773
"26","Sacramento Kings",-0.00118541116211171,0.0431467373979287
"27","San Antonio Spurs",0.0147003369157954,0.0122269608954284
"28","Toronto Raptors",-0.0143646146420541,0.0390645660715506
"29","Utah Jazz",-0.0177464440534661,0.00920264740474652
"30","Washington Wizards",-0.0270705697709208,-0.0218284620418964
