"","Team","2013-2014","2015-2016"
"1","Atlanta Hawks",-0.489537543579601,-0.49685808146507
"2","Boston Celtics",-0.468903928524953,-0.473113254525814
"3","Brooklyn Nets",-0.437172479428567,-0.480761014724151
"4","Charlotte Hornets",-0.468249238832855,-0.537215456091632
"5","Chicago Bulls",-0.435872557992254,-0.461034089486516
"6","Cleveland Cavaliers",-0.441239131600321,-0.481583304046863
"7","Dallas Mavericks",-0.480975026126003,-0.494128471928663
"8","Denver Nuggets",-0.407332336247796,-0.474223581289779
"9","Detroit Pistons",-0.403995682530587,-0.467652516559859
"10","Golden State Warriors",-0.482010075846061,-0.480408255478141
"11","Houston Rockets",-0.438616207278098,-0.431436333650825
"12","Indiana Pacers",-0.448854599692138,-0.502329286138448
"13","Los Angeles Clippers",-0.433522914142357,-0.498519525268545
"14","Los Angeles Lakers",-0.456167068674786,-0.49372039127957
"15","Memphis Grizzlies",-0.421614878865707,-0.472428133163174
"16","Miami Heat",-0.470275460273414,-0.487970971847967
"17","Milwaukee Bucks",-0.410129262016883,-0.446161764764555
"18","Minnesota Timberwolves",-0.445910871553104,-0.450106688658381
"19","New Orleans Pelicans",-0.44676730026866,-0.496479667193176
"20","New York Knicks",-0.466920788440743,-0.476389035120026
"21","Oklahoma City Thunder",-0.450224371303255,-0.445466000081291
"22","Orlando Magic",-0.488484189454465,-0.508169962199005
"23","Philadelphia 76ers",-0.455840403796269,-0.464859224792484
"24","Phoenix Suns",-0.440698427786011,-0.483280551136769
"25","Portland Trail Blazers",-0.449402697931858,-0.490937821463114
"26","Sacramento Kings",-0.440515227361444,-0.472586596302678
"27","San Antonio Spurs",-0.50507687388425,-0.517134565156009
"28","Toronto Raptors",-0.454390998796297,-0.475781053125177
"29","Utah Jazz",-0.443030277110578,-0.467010398527237
"30","Washington Wizards",-0.475591317912431,-0.508877219397904
